city,population_2020,state,population_state,GDP_2020(billion USD),urban_area_km2,oe,vkt_public_transport,rho_r,rho_i,rho_ratio,road_length_km
agartala,649084,TRIPURA,4171328,4.810943488,81.19931638270943,3.388718898783244,34989762.696263395,10.533207264260732,60.0497666386548,0.1754079633255456,855.2892291753606
agra,2149488,UTTAR PRADESH,232192037,6.215020032,132.9847871055812,3.453155089278717,79387499.99999999,19.29057548034162,195.64643871139492,0.0985991649395562,2565.3530733973757
ahmedabad,7328758,GUJARAT,70846459,125.023608832,440.29280400546025,3.4437417055818145,156945675.96801347,23.93494406177986,294.0702160519396,0.0813919355149941,10538.383634674894
aizawl,369817,MIZORAM,1353442,2.378940928,102.4099542170358,3.576106787281274,31753721.886468567,6.90807976056403,22.605224440329863,0.3055966012989174,707.456132006994
aligarh,1104851,UTTAR PRADESH,232192037,3.375762176,36.08918743686557,3.4748606647258526,83037500.0,29.60002033372193,364.901537975546,0.0811178283817087,1068.240681958723
allahabad,1817716,UTTAR PRADESH,232192037,5.941533184,92.89870519706187,3.3631035126882245,71722500.0,18.81660874559341,193.58719760249988,0.0971996546188466,1748.0385886653385
alwar,493909,RAJASTHAN,80579763,2.035854208,42.0783357176456,3.2545615094050198,51018931.31865224,24.37307531228717,271.9214009978485,0.0896327954432686,1025.5784454618797
amravati,768014,MAHARASHTRA,126536129,4.783886336,123.84191232036031,3.4191730872215547,1338333.3333333333,14.805935078566629,127.0006228530616,0.1165815942154625,1833.5953138207956
amritsar,1230831,PUNJAB,31255959,6.642479616,128.2572774067643,3.507335803461749,32528507.763377808,22.408352689251146,226.84092932776989,0.0987844334602975,2874.034307093897
aurangabad,1525430,MAHARASHTRA,126536129,9.302564864,179.3336957254616,3.3198955251336524,52695393.25740802,13.330974408747595,126.28413142541736,0.1055633376757299,2390.692908342257
bareilly,1253030,UTTAR PRADESH,232192037,3.078820864,96.73992778326908,3.3836705266706937,85775000.0,14.285607791417297,131.43487173658016,0.1086896316226359,1381.9886660818154
bengaluru,11921933,KARNATAKA,70511891,207.474245632,711.5942630599542,3.3067727290073328,356331249.99999994,24.061524943893023,224.25841281207008,0.1072937449354764,17122.043110548264
bhilainagar,726401,CHHATTISGARH,29680526,3.0801536,85.14222924469391,3.3270391002557,36529608.500706345,15.351791532680952,140.36512910242823,0.109370408668084,1307.0857539922724
bhopal,2472358,MADHYA PRADESH,84567635,24.98179072,410.47116780242237,3.4865262448244585,42856855.94618039,14.127125105225328,130.25031766843742,0.1084613485641321,5798.77753963276
bhubaneswar,1052752,ODISHA,46690946,3.273826304,146.7981942734399,3.4578606325481105,32599904.435768746,16.675882558413253,134.96760023556195,0.1235547089027919,2447.989447491017
chandigarh,837443,CHANDIGARH,858258,12.626184192,108.15507718319795,2.891678113909342,42715423.76660935,19.727727860017374,173.8799554286809,0.1134560209161599,2133.653929349304
chennai,7251320,TAMIL NADU,81532082,127.242346496,434.3259408610773,3.1291330626187226,235425000.0,20.92834549332464,189.24957564598023,0.110585957310014,9089.723347053912
coimbatore,1643565,TAMIL NADU,81532082,14.723796992,260.2173433109644,3.1554722988481307,46966689.29148436,15.930488563024015,127.0284277727741,0.125408846211339,4145.389411515813
cuttack,873878,ODISHA,46690946,2.699742464,138.848651400604,3.471657385808431,34154023.73721765,9.374513492907868,78.02020322649584,0.1201549484009067,1301.6385560270232
dehradun,774964,UTTARAKHAND,11641767,6.314616832,71.59872777691614,3.367985731436536,37862927.9859548,21.061220494839848,199.2353836851152,0.1057102413501328,1507.9565928596453
delhi,20739711,DELHI,20697237,325.424054272,1485.1727043813742,3.4109017935452743,215106666.6666667,18.56810787646836,184.78187701026383,0.1004866287587119,27576.8469901396
dewas,359067,MADHYA PRADESH,84567635,1.25475392,95.94238526149866,3.43376625999282,48365785.75440232,9.313791447557431,71.59505135585269,0.1300898773193778,893.5873673068065
dhanbad,1780417,JHARKHAND,39247441,15.0685184,222.559826543596,3.535479711308973,37217821.16954606,9.905992221351749,61.16557606740148,0.1619537141354775,2204.6759105262563
durgapur,343555,WEST BENGAL,100644486,1.339282944,153.47603694590882,3.465959346767423,47867329.69975062,12.80844413700164,104.27686509549667,0.1228311200693622,1965.7892455900728
erode,547313,TAMIL NADU,81532082,4.001175552,106.20920196864853,3.454465672399546,50531090.8230318,13.384179578522922,107.18468634535448,0.124870259314828,1421.523032040002
faridabad,1947869,HARYANA,29257842,48.418643968,194.8684609006148,2.896506135331751,92028345.09359376,18.009950009442036,159.76418069970902,0.1127283345401015,3509.5712392369824
firozabad,797577,UTTAR PRADESH,232192037,2.031214208,34.418353442508,3.2454030791909214,80797246.00342402,22.252916134782023,232.14358622199632,0.095858414599927,765.9087326534168
gangtok,133226,SIKKIM,664828,1.95593728,19.244517145643105,3.5373816955992528,39562539.44022813,9.212518069093738,34.50333385736973,0.2670037077337671,177.29046193522134
gaya,668150,BIHAR,125238091,1.025866624,49.47417061901927,3.2053400818225444,56498810.112427205,12.782029304953,106.52022932495736,0.1199962616111098,632.380298690549
ghaziabad,2459267,UTTAR PRADESH,232192037,15.608086528,179.3207504595865,3.5253392247259216,126472500.0,20.033992084087675,184.9758040549553,0.1083060143268018,3592.510495220017
guntur,782423,ANDHRA PRADESH,53387780,6.7943296,55.40883688759395,3.091456647320564,49775714.55049339,23.20710816862532,201.9533458661256,0.1149132145798132,1285.8788711481095
gurgaon,1178886,HARYANA,29257842,24.97335296,207.27824583539285,3.413956831034177,58947783.75074261,23.033134828838172,205.12041593484096,0.1122907962323698,4774.2677834116685
guwahati,1230661,ASSAM,35170839,10.311525376,176.72634022700956,3.4464593057728736,37133854.972460434,16.184742187816184,124.2316225855084,0.1302787635787036,2860.270254370438
gwalior,1582286,MADHYA PRADESH,84567635,9.632442368,418.63385112659347,3.516911734430344,24150682.263469536,7.468585709759316,55.919988163883325,0.133558427942998,3126.602798145585
haldia,382411,WEST BENGAL,100644486,1.653040128,318.0862429842151,3.5269476955213346,36402262.842849866,5.392644606333572,21.79911943046244,0.2473790110438041,1715.3260625777375
hubli dharwad,1119578,KARNATAKA,70511891,13.648089088,210.5558604477294,3.407349500566513,51311638.73412542,14.246447917188574,119.6879533365264,0.1190299233969843,2999.6730995274024
hyderabad,7053177,TELANGANA,38968605,146.145558528,549.8706755202649,3.408072065087948,184717191.63163972,23.87150039023696,239.52177459797292,0.0996631743828061,13126.238045261862
imphal,258332,MANIPUR,3447069,1.230867712,34.866027596372845,3.4071839234294115,36384331.8766944,17.216865783351817,138.70235106746415,0.1241281467174094,600.2837175253918
indore,2995123,MADHYA PRADESH,84567635,30.7926016,279.57012360372863,3.3255437015268967,56711242.1156079,17.458759168549157,141.14884484557172,0.1236904148075066,4880.947458719019
itanagar,110478,ARUNACHAL PRADESH,1697242,0.812397952,51.92411602428195,3.5774349297945576,35522242.54629571,7.170652019905639,36.977037781483375,0.1939217538809021,372.3297674513321
jabalpur,1291012,MADHYA PRADESH,84567635,0.114681584,109.79808761650592,3.479756382094548,34843232.25574673,15.136620391700411,137.75285461097832,0.1098824444288074,1661.971971985712
jaipur,3596643,RAJASTHAN,80579763,18.50411008,375.9771996007552,3.428997630355178,18858431.448858317,19.922086183415864,189.35456744610795,0.1052104866130883,7490.250173445595
jalandhar,1199256,PUNJAB,31255959,7.416397824,201.1799628236317,3.340818262159571,28158305.892771028,18.05263566608728,170.09149181520996,0.1061348540919374,3631.8285721720063
jalgaon,713144,MAHARASHTRA,126536129,4.971464192,70.54348196250307,3.4106905450855014,61834937.2596443,13.343038615463977,123.46994729619024,0.10806709573995,941.2644038949647
jalpaiguri,488734,WEST BENGAL,100644486,1.938399744,13.277971923072498,3.161014224945995,57492786.05167984,17.826836292489553,132.02317418324222,0.135028084294858,236.7042317688861
jammu,1006416,JAMMU AND KASHMIR,18119323,3.736332288,145.10080793637087,3.5417565470721173,25459541.12198915,17.657086040924163,170.81917290818308,0.1033671205656464,2562.057450340112
jamshedpur,1617730,JHARKHAND,39247441,4.647351296,140.66959873262894,3.425790698913569,27099092.91807217,14.580526957470864,117.59470524573985,0.1239896552060032,2051.0368764177056
jhansi,736260,UTTAR PRADESH,232192037,1.92704896,168.5923384775752,3.547659510150561,26097500.0,9.312927928344187,65.81556493135601,0.1415003873028718,1570.0882975126665
jodhpur,1105474,RAJASTHAN,80579763,4.987193344,233.9218183806187,3.5235355650774345,34649311.87177204,12.9448353787957,114.31169689563043,0.1132415643397776,3028.079430445656
kanpur,3463756,UTTAR PRADESH,232192037,18.485172224,239.26402649395055,3.405907497922227,70080000.0,19.66542108236422,205.9398595018036,0.0954910872035046,4705.227830865486
kochi,897318,KERALA,42361297,7.29564928,75.74388605757775,3.1954088979514594,40515000.00000001,17.79627963801392,138.0969546776183,0.1288680092878124,1347.9593771505174
kohima,112729,NAGALAND,2079321,0.09769848,11.015008045742318,3.577078426492648,37532936.18126273,16.6816328029321,99.50060821096194,0.1676535762230073,183.74831954041605
kolhapur,614060,MAHARASHTRA,126536129,3.962580736,70.55239107951856,3.4490839486381546,4501666.666666667,14.63278527308026,127.38051627294792,0.1148745954344028,1032.3779891689785
kolkata,6560623,WEST BENGAL,100644486,54.483714048,186.60196533263007,3.280875007822312,67895845.60286781,25.11823515521082,296.0526160671673,0.084843820969689,4687.112045649499
korba,492230,CHHATTISGARH,29680526,1.864763648,328.6478804250152,3.5467122490120806,19445978.171885166,5.235624073835335,32.21989439367768,0.1624966242863506,1720.6767545681662
kota,1283752,RAJASTHAN,80579763,5.714211328,564.5154734663953,3.4994430476930454,9420754.64144251,6.13491421425501,45.952681935731256,0.133505030736513,3463.2540023358856
kurnool,440969,ANDHRA PRADESH,53387780,2.62636288,64.2530473982568,3.3129055867738098,45821798.75205544,16.047286645614008,143.9464799649476,0.111480924365234,1031.0870694540502
lucknow,3728327,UTTAR PRADESH,232192037,20.306829312,283.4487310664704,3.424278480813513,118990000.0,24.706291422930025,268.7011499872946,0.091947099683415,7002.966953187935
ludhiana,1871171,PUNJAB,31255959,17.171316736,140.063490901761,3.322379441217537,42789300.425228655,26.050938032143108,257.18336568710424,0.101293246406291,3648.785322047416
madurai,1851760,TAMIL NADU,81532082,23.855816704,150.6978840232562,3.323579228523236,67572422.60815278,16.911770184939417,163.67847604411926,0.1033231161095419,2548.5679819579623
